Prompt,Category,Subject,Context Dependency,SourceDataset,SourceSplit,SourceId,Choices,AnswerIndex,AnswerLetter,AnswerText,Gsm8kAnswer,MbppTests
"Krystian works in the library. He borrows an average of 40 books every day. Every Friday, his number of borrowed books is about 40% higher than the daily average. How many books does he borrow in a week if the library is open from Monday to Friday?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"The number of books borrowed on Friday is higher by 40 * 40/100 = <<40*40/100=16>>16 books.
There are 5 days from Monday to Friday inclusive, so Krystian borrows an average of 5 * 40 = <<5*40=200>>200 books during that time.
With Friday's increase in borrowings, during one week Krystian borrows 200 + 16 = <<200+16=216>>216 books.
#### 216",
Amoli and Anayet must travel 369 miles together. Amoli drove 42 miles an hour for 3 hours and Anayet drove at 61 miles an hour for 2 hours. How many miles do they still need to travel?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Amoli = 42 * 3 = <<42*3=126>>126 miles
Anayet = 61 * 2 = <<61*2=122>>122
Together = 126 + 122 = <<126+122=248>>248 miles
369 - 248 = <<369-248=121>>121 miles
They still have 121 miles to travel.
#### 121",
"If there are two pennies in each of the twelve compartments of Roshesmina's piggy bank and she adds 6 more pennies to each compartment, calculate the total number of pennies she has?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"In each compartment, there are two pennies, and when she adds 6 pennies to each compartment, one compartment will have 6+2 = 8 pennies.
If there are 12 compartments, and each compartment now contains 8 pennies, there are a total of 12*8 = <<12*8=96>>96 pennies in all the compartments.
#### 96",
"While Greg was camping with his family for a week, it rained for 3 days. When he looked at the weather records, he saw that the amount of rain was 3 mm, 6 mm, and 5 mm on the three days. During the same week, it rained 26 mm at his house. How much less rain did Greg experience while camping?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"While camping there was 3 + 6 + 5 = <<3+6+5=14>>14 mm of rain in 3 days.
Greg experienced 26 – 14 = <<26-14=12>>12 mm less rain at the campsite.
#### 12",
"Michael loves to paint and sells his creations. He charges $100 for a large painting and $80 for a small painting. At his last art show, he sold 5 large paintings and 8 small paintings. How much did he earn in all?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"He earned 5 x $100 = $<<5*100=500>>500 for the large painting.
And he earned 8 x $80 = $<<8*80=640>>640 for the small paintings.
Therefore, he earned a total of $500 + $640 = $<<500+640=1140>>1140 in all.
#### 1140",
"It is recommended that men should consume no more than 150 calories of added sugar per day. Mark took a soft drink in the afternoon that contained 2500 calories, 5% of which was from added sugar. Then he bought some bars of candy which had 25 calories of added sugar each. If he eventually exceeded the recommended intake of added sugar by 100%, how many bars of candy did he take?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"He consumed 2500 calories, 5% of which is added sugar to give 2500*(5/100) = <<2500*(5/100)=125>>125 calories of added sugar.
He exceeded the recommended intake of 150 calories by 100% for a total consumption of 150+(150(100/100)) = $<<150+(150*100/100)=300>>300
This means he took in 300-125 = <<300-125=175>>175 calories from candy alone
Each candy had 25 calories so 175 calories which means he consumed 175/25 = <<175/25=7>>7 bars?
#### 7",
"Four classmates were comparing their ages based on their birth month. They found out that Jolyn is 2 months older than Therese while Therese is 5 months older than Aivo. Then, Leon is 2 months older than Aivo. How much older in months is Jolyn than Leon?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Jolyn is 2 + 5 = <<2+5=7>>7 months older than Aivo.
Since Leon is 2 months older than Aivo, then Jolyn is 7 - 2 = 5 months older than Leon.
#### 5",
"Joey studies for his SAT exams 2 hours per night 5 nights a week.  On the weekends, he studies 3 hours a day.  If his SAT exam is 6 weeks away, how much time will Joey spend studying?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Joey studies 2 hours a night 5 nights a week so that's 2*5 = <<2*5=10>>10 hours
He studies 3 hours a day on the weekends so that's 3*2 = <<3*2=6>>6 hours
In one week, Joey studies 10+6 = <<10+6=16>>16 hours
He has 6 weeks till his exams and he studies for 16 hours a week so that's 6*16 = <<6*16=96>>96 hours of studying
#### 96",
"Archibald eats 1 apple a day for two weeks. Over the next three weeks, he eats the same number of apples as the total of the first two weeks. Over the next two weeks, he eats 3 apples a day. Over these 7 weeks, how many apples does he average a week?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"He ate 14 apples the first two weeks because 14 x 1 = 14
He ate 14 apples in the next three weeks because 14 = <<14=14>>14
He ate 42 apples in the final two weeks because 14 x 3 = <<14*3=42>>42
He ate 70 apples in total.
He averaged 10 apples a week because 70 / 7 = <<70/7=10>>10
#### 10",
John writes 20 pages a day.  How long will it take him to write 3 books that are 400 pages each?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"He wants to write 3*400=<<3*400=1200>>1200 pages
So it will take him 1200/20=<<1200/20=60>>60 days
#### 60",
"On Monday, Mack writes in his journal for 60 minutes at a rate of 1 page every 30 minutes. On Tuesday, Mack writes in his journal for 45 minutes at a rate of 1 page every 15 minutes. On Wednesday, Mack writes 5 pages in his journal. How many pages total does Mack write in his journal from Monday to Wednesday?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"On Monday, Mack writes 60 / 30 = <<60/30=2>>2 pages
On Tuesday, Mack writes 45 / 15 = <<45/15=3>>3 pages
In total, from Monday to Wednesday, Mack writes 2 + 3 + 5 = <<2+3+5=10>>10 pages
#### 10",
John hits 70% of his free throws.  For every foul he gets 2 shots.  He gets fouled 5 times a game.  How many free throws does he get if he plays in 80% of the 20 games the team plays?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"John plays in 20*.8=<<20*.8=16>>16 games
That means he gets fouled 16*5=<<16*5=80>>80 fouls
So he gets 80*2=<<80*2=160>>160 foul shots
So he makes 160*.7=<<160*.7=112>>112 free throws
#### 112",
Marcos has to get across a 5 mile lake in his speedboat in 10 minutes so he can make it to work on time. How fast does he need to go in miles per hour to make it?,Logic/Math,GSM8K,No,gsm8k,train,,,,,,"10 minutes for 5 miles means 10 minutes / 5 miles = <<10/5=2>>2 minutes/mile
1 hour is 60 minutes so 60 minutes/hour / 2 minutes/mile = 30 miles/hour
#### 30",
"Joan is at the grocery store. She has a total of $60 to spend. She is going to purchase 2 containers of hummus, which are $5 each. She is going to purchase chicken for $20, bacon for $10, and vegetables for $10. She wants to purchase apples which are $2 each. With her remaining money, how many apples can she purchase?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"The total cost of the hummus is 2 * $5 = $<<2*5=10>>10
The total cost of the chicken, bacon, and vegetables is $20 + $10 + $10 = $<<20+10+10=40>>40
The remaining money she has is $60 - $10 - $40 = $<<60-10-40=10>>10
The amount of apples she can purchase is $10 / $2 = <<10/2=5>>5
#### 5",
"Jake splits 8 shots of vodka with his friend.  Each shot of vodka is 1.5 ounces.  If the vodka is 50% pure alcohol, how much pure alcohol did Jake drink?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Jake drank 8/2=<<8/2=4>>4 shots
So he drank 4*1.5=<<4*1.5=6>>6 ounces of vodka
That means he drank 6*.5=<<6*.5=3>>3 ounces of pure alcohol
#### 3",
"John writes 3 stories every week.  Each short story is 50 pages.  He also writes a novel that is 1200 pages each year.  Each sheet of paper can hold 2 pages.  Over 12 weeks, how many reams of paper does he need to buy if a ream contains 500 sheets?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"He writes 3*50=<<3*50=150>>150 pages a week
That means he writes 150*52=<<150*52=7800>>7800 pages of short stories a year
So he writes 7800+1200=<<7800+1200=9000>>9000 pages a year
So he needs 9000/2=<<9000/2=4500>>4500 sheets of paper
That means he needs 4500/500=<<4500/500=9>>9 reams of paper
#### 3",
"Jennifer has ten pears, 20 oranges, and twice as many apples as pears. If she gives her sister two of each fruit, how many fruits does she have left?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Jennifer has 2*10 = <<2*10=20>>20 apples.
She has a total of 10+20+20 = <<10+20+20=50>>50 fruits.
She gives her sister 2 pears+2 oranges+2 apples = <<2+2+2=6>>6 fruits.
After giving her sister 2 of each fruit, she has 50-6 = <<50-6=44>>44 fruits left.
#### 44",
"A school principal is booking hotel rooms for a class of 30 students to stay at during an overnight field trip.  Each of the hotel's rooms has two queen size beds, which can fit two students each, and a pull-out couch, which can fit one student.  How many rooms does the principal need to book to fit all of the students in the class?",Logic/Math,GSM8K,No,gsm8k,train,,,,,,"Each room can fit 2*2 + 1 = <<2*2+1=5>>5 students.
Thus, the principal needs to book 30/5 = <<30/5=6>>6 rooms to fit everyone.
#### 6",
