Prompt,Category,Subject,Context Dependency
Write a customer–support chat handling a delayed shipment; de-escalate and offer a resolution.,Dialogue,Business,Yes
"If a candle is lit and then covered with a jar, what will happen?",Commonsense,Daily Life,No
"If salt is added to ice on roads, why does the ice melt faster?",Commonsense,Chemistry,No
What is the capital of France?,Knowledge,Geography,No
Write a dialogue between two historians debating the primary cause of World War I.,Dialogue,History,Yes
Read the study summary and identify two threats to internal validity.,Reading,Research Methods,Yes
Paraphrase the sentence to be simpler: 'Photosynthesis converts light energy into chemical energy.',Instruction,Biology,No
Convert the following paragraph into bullet points with one key idea per bullet.,Instruction,Study Skills,Yes
What is the derivative of 3x^2 + 5x + 2?,Math,Calculus,No
Read the paragraph and infer why the expedition leader changed the route despite good weather.,Reading,History,Yes
Who was the Mughal emperor during the construction of the Taj Mahal?,Knowledge,History,No
"Outline three steps a local community can take to reduce plastic waste, in order of impact.",Instruction,Environment,No
Design a metaphor that explains quantum entanglement without using technical jargon.,Creative,Physics,No
"Compute the median of the set: 3, 9, 12, 15, 21.",Math,Statistics,No
How does ocean acidification affect coral reefs? Provide a concise explanation.,Knowledge,Environmental Science,No
Read the paragraph and answer: How does the setting influence the character's decision?,Reading,Literature,Yes
What happens to the pitch of sound when the frequency increases?,Commonsense,Physics,No
Translate to Bangla: 'Renewable energy can reduce air pollution in cities.',Instruction,Language,No
Solve for x: 2x + 3 = 19.,Math,Algebra,No
Compose a 14-line sonnet about time and memory.,Creative,Literature,No
"Given the dataset, compute the mean, variance, and standard deviation.",Instruction,Statistics,Yes
"From the article, identify the claim, evidence, and reasoning.",Reading,Media Literacy,Yes
"If an athlete is dehydrated, what immediate steps should they take?",Commonsense,Health,No
Write a JavaScript function to debounce an input event with a delay parameter.,Programming,Computer Science,No
"Compare and contrast mitosis and meiosis in terms of purpose, phases, and outcomes.",Knowledge,Biology,No
In which continent is Kenya?,Knowledge,Geography,No
Explain how a central bank would respond differently to cost-push inflation versus demand-pull inflation.,Knowledge,Economics,No
"Given a list of timestamps, write Python code to bucket events by hour and count them.",Programming,Computer Science,No
Write a dialogue between a teacher and a student planning a science fair project. Include disagreement and resolution.,Dialogue,Education,Yes
"Write a function in C++ that returns true if a string is a palindrome, ignoring case and spaces.",Programming,Computer Science,No
Rewrite the following paragraph in simpler language for a Grade 5 audience.,Instruction,Education,Yes
Translate into French: 'Students are discussing the experiment they conducted yesterday.',Instruction,Language,No
Summarize the research abstract and list two potential limitations of the study design.,Instruction,Research Methods,Yes
"If a battery is connected incorrectly, what happens to the circuit and why?",Commonsense,Electronics,No
Which layer of Earth is liquid?,Knowledge,Geography,No
Write a Python script that fetches JSON from a URL and handles timeouts and retries.,Programming,Computer Science,No
Explain why metal spoons feel colder than wooden spoons at the same room temperature.,Commonsense,Physics,No
Create an analogy that explains black holes to a 10-year-old using playground equipment.,Creative,Physics,No
"Given an array of integers, write a function to return the two numbers that add up to a target.",Programming,Computer Science,No
Why should cyclists use reflectors at night?,Commonsense,Safety,No
Explain the concept of opportunity cost with a real-life example.,Knowledge,Economics,No
Explain why antibiotics do not work on viruses.,Knowledge,Biology,No
State one difference between RNA and DNA.,Knowledge,Biology,No
What is 56 ÷ 8?,Math,Math,No
Write a short story about a city where nobody can lie for one day. Keep it under 200 words.,Creative,Literature,No
Why does bread dough rise when yeast is added?,Commonsense,Biology,No
Who wrote 'Pride and Prejudice'?,Knowledge,Literature,No
What is the square root of 196?,Math,Math,No
Write a Python program that parses logs and reports the top five most frequent error codes with counts.,Programming,Computer Science,No
"If a magnet is cut in half, what happens to its poles?",Commonsense,Physics,No
A ball is thrown upward. Explain what happens to its velocity at the highest point.,Commonsense,Physics,No
Who formulated the theory of general relativity?,Knowledge,Physics,No
"From the passage, identify the author's main claim and one supporting detail.",Reading,Literature,Yes
Who painted the Mona Lisa?,Knowledge,Art,No
What is the chemical symbol for Sodium?,Knowledge,Chemistry,No
